tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Sun Jun 20 01:03:59 +0000 2021,185859540,JOSEOBDULIO,"Por cobardía, algunas autoridades que buscaron caminos ilegales y solo una doctrina llamada Seguridad Democrática puso orden a la anarquía que reinaba en el país. En #MITOSYVERDADES con @MargaritaRepo https://t.co/x92pRh04v6",https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1406417513748086784,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Thu Jun 17 18:20:22 +0000 2021,185859540,JOSEOBDULIO,"3/4 Por eso, no es casualidad todo lo que ha ocurrido, porque eso estaba planteado desde el momento en que se constituyó el comité del paro y que coincide con lo sucedido en Chile y que también se veía para Perú. https://t.co/eBNG5HKLb1",https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1405591162493284353,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Mon Jun 07 16:46:08 +0000 2021,185859540,JOSEOBDULIO,¿A quién representan? https://t.co/8bRIEAXucA,https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1401943569804505089,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Sat Jun 12 03:52:04 +0000 2021,185859540,JOSEOBDULIO,Comunicado atroz https://t.co/tTtVDhoKBn,https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1403560707149471748,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Thu Jun 17 18:43:40 +0000 2021,185859540,JOSEOBDULIO,"En la discusión sobre la comida chatarra, los senadores del Centro Democrático en la Comisión Séptima apoyaron la iniciativa, pero se quieren hacer famosos diciendo lo contrario, como ocurre con todos los temas. En @VocesRCN con @jciragorri https://t.co/6SBa5Ri2fa",https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1405597027132743681,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Fri May 28 12:56:31 +0000 2021,185859540,JOSEOBDULIO,Avance filosófico jurídico de siglos se echó por la borda. Derecho y fuerza son consustanciales (se disocian y reinarán anarquía o tiranía). La fuerza se bifurca: coacción (para prevenir) o castigo (para sancionar). Ahora Colombia ni previene ni castiga la asonada. La reglamenta.,https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1398261907434487810,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Fri Jun 18 03:47:48 +0000 2021,185859540,JOSEOBDULIO,"A propósito del proyecto que garantiza, promueve, desarrolla y consolida la economía campesina y la agricultura familiar. En @NoticieroSenado https://t.co/3GO3Kl2tgm",https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1405733960378945537,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Sat Jun 12 03:49:00 +0000 2021,185859540,JOSEOBDULIO,"María Alejandra Lora Sabagh.
En estos tiempos de tormenta, una vida meritoria que se ha apagado. Encarnó un liderazgo ejemplar y sus emprendimientos tuvieron su signo: la inteligencia y la solidaridad. Carmenza y yo elevamos una oración para que Dios dé fortaleza a los suyos.",https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1403559935661817857,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Fri May 28 15:58:39 +0000 2021,185859540,JOSEOBDULIO,"No hubo tal desautorización. Lo q oigo es que avala y legitima el adefesio. Arguye que lo estamos ""malinterpretando"". La catástrofe es que se abandone el uso legítimo de la fuerza y se legitime a los promotores de la asonada. Es la claudicación del Estado.
https://t.co/frhsCa3Y4r",https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1398307741052063747,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Fri May 28 01:09:47 +0000 2021,185859540,JOSEOBDULIO,"Documento histórico.
Se citará por siglos como ejemplo insólito de rendición del Estado a vándalos.
¿Regular conjuntamente, Estado y vándalos, procedimientos para adelantar una asonada?
Siquiera se murieron los juristas
mis profesores
que creyeron siempre
en el Estado de derecho.",https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1398084050494046210,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Sat Jun 19 03:07:05 +0000 2021,185859540,JOSEOBDULIO,Terrorismo: ¿Libre desarrollo de la personalidad? https://t.co/Y18UbY7Eqr,https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1406086105267593219,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Sat Jun 26 00:35:41 +0000 2021,185859540,JOSEOBDULIO,"El asesino confesó de las Farc, en ese afán que tienen ellos de reescribir la historia, se le ocurrió acusar de genocida a Marco Fidel Suárez, uno de los hombres más brillantes de la historia de Colombia. Más del tema en el enlace de YouTube:  https://t.co/DCjOfNSrup https://t.co/Vt5DUgTVVp",https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1408584716685545473,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Fri May 28 05:54:16 +0000 2021,185859540,JOSEOBDULIO,"“Los cimientos principales de todos los estados son las buenas leyes y las buenas armas, y no puede haber buenas leyes donde no hay buenas armas”. Puro sentido común enunciado desde el siglo XVI.",https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1398155642276306944,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Thu May 27 22:58:25 +0000 2021,285154000,gabrieljvelasco,"El gobierno autoriza al comite del paro de Btura a inspeccionar y decidir que mercancia entra y sale del puerto. ¿Otorga poderes de nueva autoridad?

Preocupa que este acto legitime las vías de hecho como forma de presión al estado

Diálogo si, pero sin ceder la institucionalidad https://t.co/IMcKB3GZ18",https://twitter.com/gabrieljvelasco,Gabriel Velasco Ocampo,https://twitter.com/gabrieljvelasco/status/1398050990050492425,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Sun Jun 06 13:25:47 +0000 2021,185859540,JOSEOBDULIO,"Un gran amigo se ha ido. ¡Tanto liderazgo, tanta brillantez arrebatada a la vida por esta pandemia feroz! 
Paz en la tumba de Luciano Restrepo. Abrazo consternado a su querida familia.",https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1401530760545325064,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Thu Jun 17 18:17:45 +0000 2021,185859540,JOSEOBDULIO,"2/4 Uno de sus propios líderes asegura que el paro tiene un propósito político, que también lo ratificó 'Iván Márquez'. En @VocesRCN con @jciragorri https://t.co/BYcw24PcQk",https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1405590503131959298,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
Thu Jun 17 18:36:00 +0000 2021,185859540,JOSEOBDULIO,La norma que se aprobó sobre la aplicación de la cadena perpetua para ciertos delitos nace de un sentimiento popular que impulso Gilma Jiménez. En @VocesRCN con @jciragorri https://t.co/zRktTdJelj,https://twitter.com/JOSEOBDULIO,Jose Obdulio Gaviria,https://twitter.com/JOSEOBDULIO/status/1405595098709123075,2021-09-06T18:17:18.852Z,https://twitter.com/search?q=from%3Ajoseobdulio%20since%3A2021-04-01%20until%3A2021-06-30&src=typed_query&f=live
