Tweet,Sentiment Score,Sentiment Magnitude
"Esta noticia de la FM “Al parecer, el ingeniero Camilo Vélez se habría negado a pagar el ‘peaje’ y por eso fue templado el cable que acabó con su vida cerca del portal de las Américas”. ",0,0
Protestas violentas en ocho puntos de Bogotá dejaron 12 policías heridos y 22 buses afectados. ,0.200000003,0.200000003
"Necesitamos a los jóvenes en la Primera Línea; En la Primera Línea de la educación, la cultura, el deporte, el emprendimiento. ",0.200000003,0.200000003
Hospital de Leticia ha mejorado durante la intervención del Gobierno. ,0.800000012,0.800000012
Colombia necesita una conciencia colectiva de seguridad: Álvaro Uribe Vélez vía @lalibertdco. ,0.100000001,0.100000001
"Entrevista en @RevistaSemana 28/06/21 ""Este país necesita una conciencia ciudadana por encima de los partidos de exigencia a la autoridad"". ",0,0
"Secuestrado Rafael Herrera en Puerto Rondón, Arauca, empresario tolimense. ",0.300000012,0.300000012
(DENUNCIA) Feria de Contratos en Telemedellín para campaña antirrevocatoria. ,0.200000003,0.200000003
-TERCERA PARTE: «El millonario contrato para pauta publicitaria en redes» vía @ifm noticias. ,0.200000003,0.200000003
"En @WRadioColombia 28/06/21 ""Una cosa fue la seguridad democrática, que tanto bien le hizo al país, y otra una acción criminal de falsos positivos y también de falsas acusaciones de ONG's de izquierda"". ",0,0
"Ayer la Primera Línea volvió a mostrar su capacidad destructiva, Pasto, Barranquilla, Medellín. ",0.300000012,0.300000012
Una cosa es que se resuelvan los problemas de los jóvenes y otra permitir que estos de la llamada Primera Línea sigan con destrucción y violencia. ,0,0
Muy importante la denuncia de la alcaldesa Claudia López sobre los proveedores de dotación a los violentos. ,0.5,0.5
"Buenaventura Gutiérrez Blanco falleció en Charalá, Santander, Venturita como lo conocían era querido por toda la comunidad. ",0,0
Nuestra solidaridad a la familia. ,0.800000012,0.800000012
Colombia necesita una conciencia colectiva de seguridad que impulse la superación de esta violencia. ,0,0
La comunidad debe exigir autoridad en todos los niveles. ,0,0
"Una cosa es enfrentar la violencia, evitarla con autoridad, y otra la solución de los problemas de los jóvenes. ",0.200000003,0.200000003
"En @WRadioColombia 28/06/21 ""Una norma del Centro Democrático es tener menos gasto en burocracia, gastos generales y más apoyo a la comunidad en salud, educación, en vías. ",0.300000012,0.300000012
"Menos Estado burocrático, más Estado comunitario"". ",0.100000001,0.100000001
"La tragedia de la Primera Línea: “Ayer viniendo de Boyacá a mi esposo y a mi, nos retuvieron las marchas cuatro horas sin dejarnos pasar. ",-0.300000012,0.300000012
