Tweets,Sentiment Score,Sentiment Magnitude
"Con este aporte, podremos fortalecer los mecanismos de protección, asistencia humanitaria y prevención frente a las necesidades de los migrantes. ",0.699999988,0.699999988
"Más de 26 mil personas se verán beneficiadas, en especial mujeres, que enfrentan mayor vulnerabilidad en el contexto de la migración. ",0.300000012,0.300000012
"Agradecemos la generosidad del Gobierno de Emiratos Árabes Unidos, que a través de la ACNUR , donó a Colombia 2 millones de dólares para atender a la población migrante. ",0.600000024,0.600000024
¡No podemos ser indiferentes ante la tragedia que viven miles de familias desterradas de su patria!. ,-0.200000003,0.200000003
"Manifestamos la importancia de avanzar en políticas claras de #EquidadDeGénero, en tres puntos específicos: autonomía económica, empoderamiento político, y prevención y atención de violencias. ",0.300000012,0.300000012
¡Nuestro compromiso es muy claro: mejorar la calidad de vida de las colombianas!. ,0.400000006,0.400000006
"#Hoy | En reunión con el Embajador de 🇲🇽 en 🇨🇴, Alejandro García Moreno, hablamos sobre la necesidad de fortalecer relaciones, el comercio bilateral, la cooperación de ambos países en la lucha contra el #COVID y tender puentes para superar las brechas sociales. ",0.200000003,0.200000003
"Fructífera reunión con el Embajador de @NoruegaenCOL, John Petter Opdahl, con quien dialogamos sobre temas cruciales para Colombia como #PazConLegalidad, #EquidadDeGénero, cooperación internacional, migración venezolana, transparencia y lucha contra la corrupción. ",0.300000012,0.300000012
#LaNoticia 🗞️ | Colombia recibe millonaria donación de Emiratos Árabes Unidos para atender a migrantes. ,0.300000012,0.300000012
"Expresamos, además, lo doloroso que es para nuestro país que se sigan perdiendo vidas en medio de las protestas. ",-0.300000012,0.300000012
"La violencia, venga de donde venga, es inadmisible y la debe condenar, al unísono, todo el pueblo colombiano. ",-0.100000001,0.100000001
La Fiscalía General investiga caso de agresor que fue nombrado comisario en #Bucaramanga ►. ,0.200000003,0.200000003
"El Salvador expresa su más enérgico rechazo al atentado terrorista contra el Presidente de la República de Colombia, @IvanDuque, y su comitiva, al ser atacado el helicóptero presidencial en que viajaban. ",0,0
"Asimismo, se solidariza con su gobierno y el pueblo colombiano. ",0.200000003,0.200000003
Agradecemos a @eu_eeas solidaridad y rechazo absoluto al atentado contra el Pdte. ,0.699999988,0.699999988
@IvanDuque y parte de nuestro gobierno. ,0,0
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"Se plantearon estrategias entre ambos países en la lucha contra el narcotráfico, los cultivos ilícitos y el crimen organizado. ",0.100000001,0.100000001
"Hoy, más que nunca, los desafíos se centran en la cooperación por la seguridad de #Colombia y #México, países amigos y con propósitos comunes 🇨🇴🤝🏻🇲🇽. ",0.600000024,0.600000024
"El documento tiene herramientas para la potenciación del sector: rediseño institucional de @_supersolidaria, profundizar educación sobre modelos asociativos, estatutos tipo opcionales, evaluación de mecanismos de financiación, entre muchos otros. ",0.200000003,0.200000003
Agradecemos a @cancilleriasv 🇸🇻 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.5,0.5
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"El documento CONPES de #EconomíaSolidaria se encuentra en elaboración con el fin de expedir los lineamientos de ejecución para que esta política sirva como vehículo de repotenciación económica, formalización y transformación social. ",0.200000003,0.200000003
Fuimos enfáticos en la importancia que para #Colombia tiene acelerar el #PlanNacionalDeVacunación. ,0.5,0.5
"Con la llegada de nuevas vacunas desde #EEUU, nos acercamos a nuestra meta de inmunizar cada vez a más colombianos. ",0.800000012,0.800000012
"Esto nos ayuda, sin duda, a reactivar nuestra economía. ",0.899999976,0.899999976
"Reiteramos, además, que #Colombia es un país respetuoso de los #DerechosHumanos y garante de la protesta pacífica, y que cualquier caso aislado de abuso de autoridad debe ser individualizado y judicializado. ",0.100000001,0.100000001
Es clave la cooperación de #Noruega para alcanzar nuestro propósito de una paz con legalidad y contener la acción de los grupos armados ilegales en algunas regiones de #Colombia. ,0.400000006,0.400000006
"Estas vacunas y las que, posiblemente, después vendrán, son determinantes para recuperar los empleos perdidos en la pandemia y avanzar en la estabilidad del país y la #ReactivaciónEconómica. ",0.200000003,0.200000003
¡Duele el alma con casos como el de María Córdoba! ,0.5,0.5
No podemos seguir replicando la crueldad y la barbarie en nuestro país. ,-0.300000012,0.300000012
"La justicia debe priorizar esta investigación, pero también necesitamos asumir todos la responsabilidad de revaluarnos como sociedad. ",0.100000001,0.100000001
"De estos recursos, 300.000 USD se destinarán para #CasaDeMujeresEmpoderadas, que hemos impulsado desde @ViceColombia, para reducir riesgo de violencia de género y brindar oportunidades de capacitación. ",0.300000012,0.300000012
¡Las mujeres están llamadas a ser protagonistas de la #ReactivaciónEconómica!. ,0.400000006,0.400000006
¡Insistimos en que el camino es el diálogo! ,0.400000006,0.400000006
"El Gobierno del Presidente @IvanDuque siempre estará dispuesto a escuchar a los distintos sectores, porque es en los consensos que se construye país, teniendo como base la democracia. ",0.200000003,0.200000003
"Es clave la actuación de la justicia para que ningún caso de agresión a una mujer quede en la impunidad, máxime cuando se trata de un servidor público cuyo deber es proteger y atender a las mujeres víctimas de violencia. ",0.5,0.5
Confío en pronto resultado en investigación de @FiscaliaCol. ,0.400000006,0.400000006
Excelente conversación entre los Presidentes @IvanDuque y Joe Biden (@POTUS). ,0.899999976,0.899999976
"Recibimos la confirmación de la asignación a #Colombia de 2.5 millones de vacunas, tal como solicitamos en nuestras reuniones en #Washington. ",0.300000012,0.300000012
Condenamos enérgicamente el atentado contra el presidente Duque. ,0,0
